Date1,Date2,Days,acctrefno,application_id,multiply_to
2022-05-03,2022-09-13,-132,413541,22021705X6OK,-1
2022-05-24,2022-09-13,-111,413640,220218015MAR,-1
2022-04-29,2022-05-16,17,414646,22022100NMAR,1
2022-06-10,2022-06-13,3,414646,22022100NMAR,1
2022-04-29,2022-09-13,-137,414883,2202210665AR,-1
2022-07-18,2022-09-13,-56,415825,22022306DJTX,-1
2022-05-29,2022-09-13,-107,417453,220228015HOK,-1
2022-05-13,2022-09-13,-122,418936,220303057BOK,-1
2022-07-13,2022-07-18,4,419464,220304063LMI,1
2022-07-27,2022-07-27,0,419464,220304063LMI,1
2022-05-13,2022-09-13,-123,420610,22030707MTAR,-1
2022-08-25,2022-08-25,0,420755,2203080188FL,1
2022-09-05,2022-09-13,-8,420755,2203080188FL,-1
2022-06-03,2022-06-17,14,421650,22031001FFTX,1
2022-09-09,2022-09-13,-4,421650,22031001FFTX,-1
2022-06-09,2022-09-13,-96,421816,22031004T8OK,-1
2022-06-13,2022-09-13,-91,421877,22031005Y3MI,-1
2022-06-09,2022-09-13,-96,422087,220310097CTX,-1
2022-06-20,2022-09-13,-85,422189,22031101SFTX,-1
2022-05-28,2022-09-13,-108,423111,22031401LVMS,-1
2022-05-27,2022-05-31,4,423219,22031404JBTX,1
2022-06-24,2022-06-27,3,423219,22031404JBTX,1
2022-07-08,2022-09-13,-67,423219,22031404JBTX,-1
2022-05-27,2022-09-13,-109,423322,22031406W4TX,-1
2022-07-18,2022-09-13,-56,423345,220314074RTX,-1
2022-06-14,2022-06-15,1,423562,22031501XXTX,1
2022-05-27,2022-09-13,-109,424540,220317028LMS,-1
2022-06-16,2022-09-13,-89,424575,22031702SQFL,-1
2022-06-17,2022-06-21,4,424959,22031800Z0FL,1
2022-07-15,2022-07-29,14,424959,22031800Z0FL,1
2022-06-15,2022-06-30,15,425108,22031803RDOK,1
2022-07-15,2022-08-15,31,425108,22031803RDOK,1
2022-08-31,2022-09-13,-13,425108,22031803RDOK,-1
2022-05-26,2022-09-13,-110,425447,22031900GSFL,-1
2022-06-06,2022-09-13,-99,425480,22031900YBTX,-1
2022-08-20,2022-09-13,-24,426076,22032103JXTN,-1
2022-06-09,2022-09-13,-96,426187,22032105X6TX,-1
2022-06-01,2022-09-13,-103,426207,2203210647AL,-1
2022-08-05,2022-08-19,14,426396,22032200BSFL,1
2022-09-02,2022-09-13,-11,426396,22032200BSFL,-1
2022-06-08,2022-09-13,-97,426408,22032200M7MO,-1
2022-08-02,2022-09-13,-42,426443,2203220158TN,-1
2022-06-14,2022-09-13,-90,426489,220322020YTN,-1
2022-06-07,2022-06-07,0,426504,22032202DMAL,1
2022-07-12,2022-07-12,0,426504,22032202DMAL,1
2022-07-19,2022-07-21,2,426504,22032202DMAL,1
2022-07-29,2022-08-18,20,426504,22032202DMAL,1
2022-08-26,2022-09-02,7,426504,22032202DMAL,1
2022-09-09,2022-09-13,-4,426504,22032202DMAL,-1
2022-06-09,2022-09-13,-96,426622,22032204MCKY,-1
2022-09-02,2022-09-13,-11,426709,22032206D8IN,-1
