day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-02-03,Current,2,4590,NA,0,0
2022-02-04,Current,4,9300,NA,0,0
2022-02-05,Current,4,9300,NA,0,0
2022-02-06,Current,4,9300,NA,0,0
2022-02-07,Current,7,16004.9,NA,0,0
2022-02-08,Current,7,16004.9,NA,0,0
2022-02-09,Current,12,25443.9,NA,0,0
2022-02-10,Current,12,25443.9,NA,0,0
2022-02-11,Current,12,25443.9,NA,0,0
2022-02-12,Current,12,25443.9,NA,0,0
2022-02-13,Current,12,25443.9,NA,0,0
2022-02-14,Current,13,27933.9,NA,0,0
2022-02-15,Current,15,30009.8,NA,0,0
2022-02-16,Current,15,30009.8,NA,0,0
2022-02-17,Current,22,43675.8,NA,0,0
2022-02-18,Current,37,68218.59,NA,0,0
2022-02-19,Current,44,78695.32,NA,0,0
2022-02-20,Current,44,78695.32,NA,0,0
2022-02-21,Current,64,116141.41,NA,0,0
2022-02-22,Current,83,149232.76,NA,0,0
2022-02-23,Current,95,171398.26,NA,0,0
2022-02-24,Current,106,187820.76,NA,0,0
2022-02-25,Current,119,205394.76,NA,0,0
2022-02-26,Current,124,213934.76,NA,0,0
2022-02-27,Current,124,213934.76,NA,0,0
2022-02-28,Current,147,253710.76,NA,0,0
2022-03-01,Current,159,275152.36,NA,0,0
2022-03-02,Current,177,305685.56,NA,0,0
2022-03-03,Current,207,363638.26,NA,0,0
2022-03-04,Current,223,388268.25,NA,0,41.81
2022-03-05,Current,226,395145.95,NA,0,41.81
2022-03-06,Current,226,395145.95,NA,0,41.81
2022-03-07,Current,252,440478.43,NA,0,41.81
2022-03-08,Current,283,498389.33,NA,0,41.81
2022-03-09,Current,301,533086.33,NA,0,41.81
2022-03-10,Current,387,695175.48,NA,0,41.81
2022-03-11,Current,436,773288.32,NA,0,41.81
2022-03-12,Current,441,783860.52,NA,0,41.81
2022-03-13,Current,441,783860.52,NA,0,41.81
2022-03-14,Current,500,888684.57,NA,0,103.36
2022-03-15,Current,533,949230.46,NA,0,103.36
2022-03-16,Current,587,1048490.14,NA,0,103.36
2022-03-17,Current,672,1184913.94,NA,0,103.36
2022-03-18,Current,720,1258500.07,NA,0,103.36
2022-03-19,Current,757,1340783.33,NA,0,103.36
2022-03-20,Current,757,1340783.33,NA,0,103.36
2022-03-21,Current,854,1497594.12,NA,0,103.36
2022-03-22,Current,952,1666317.62,NA,0,103.36
2022-03-23,Current,1034,1804492.03,NA,0,103.36
2022-03-24,Current,1151,1978952.44,NA,0,103.36
2022-03-25,Current,1221,2089688.34,NA,0,143.36
2022-03-26,Current,1235,2109326.59,NA,0,143.36
2022-03-27,Current,1235,2109326.59,NA,0,143.36
2022-03-28,Current,1355,2322229,NA,0,143.36
2022-03-29,Current,1447,2451502.64,NA,0,143.36
2022-03-30,Current,1528,2443102.64,NA,0,143.36
2022-03-31,Current,1621,2443102.64,NA,0,143.36
2022-04-01,Current,1683,2432185.64,NA,0,143.36
2022-04-02,Current,1686,2432185.64,NA,0,143.36
2022-04-03,Current,1686,2432185.64,NA,0,143.36
2022-04-04,Current,1812,3024384.95,NA,0,143.36
2022-04-05,Current,1924,3206578.0608141096,NA,0,143.36
2022-04-06,Current,2035,3359477.7670500004,NA,0,143.36
2022-04-07,Current,2138,3499281.273285891,NA,0,165.67
2022-04-08,Current,2203,3586630.4495217814,NA,0,165.67
2022-04-09,Current,2234,3642894.537944716,NA,0,165.67
2022-04-10,Current,2234,3642146.6663676505,NA,0,165.67
2022-04-11,Current,2356,3794916.792522366,NA,0,165.67
2022-04-12,Current,2473,3965128.8186770817,NA,0,215.67
2022-04-13,Current,2584,4116939.5448317975,NA,0,1015.67
2022-04-14,Current,2678,4251002.910986513,NA,0,1104.67
2022-04-15,Current,2736,4338784.766870188,44.73,0,1137.16
2022-04-16,1-7,1,900.1586313703,29.54,0,0
2022-04-16,Current,2741,4343078.706026328,15.19,0,1137.16
2022-04-17,1-7,1,901.0366887676,29.54,0,0
2022-04-17,Current,2741,4343058.018660046,15.19,0,1214.98
2022-04-18,1-7,1,901.9147461649,29.54,0,0
2022-04-18,Current,2839,4473892.551293764,15.19,0,1214.98
2022-04-19,1-7,1,902.7928035622,29.54,29.54,0
2022-04-19,Current,2940,4633861.599844689,15.19,47.68,1245.43
2022-04-20,1-7,2,1829.3962585491,44.73,44.73,0
2022-04-20,Current,3020,4726589.586493829,31.31,74.51,1245.43
