acctrefno,loan_group_no,loan_class1_no,application_id,customer_application_id,person_id,submit_dt,complete_dt,open_month,withdraw_dt,first_payment_dt,withdraw_reason,application_status,account_status,account_payment_method,mx_discount,balance_amt,loan_amt,principal_balance,min_amt,net_paid_amt,net_paid_amt_effective,scu_amt,net_funded_amt,payoff_type,fpr,fpd,pd,cpo,epo,dpd,dpd_bin,past_due_amt,past_due_amt_snapapp,past_due_amt_effective
457070,4,1,220526054SMI,2358493121,2358493115,2022-05-26,2022-06-06,2022-06-01,NA,2022-08-23,"NA",COMPLETE,ACTIVE,MANUAL,238.88,708.07263,1310,682.5,49.44,0,0,682.5,443.62,"NA",1,1,1,0,0,20,1-30,49.44,70.08,49.44
471621,4,1,2207110559AL,2437131563,2437131556,2022-07-11,2022-07-11,2022-07-01,NA,2022-09-23,"NA",COMPLETE,ACTIVE,MANUAL,94.15,269.7857,350,268.99,0,0,0,268.99,174.84,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
493698,4,1,22090203LGTX,2521186985,2521186977,2022-09-02,2022-09-02,2022-09-01,NA,2022-11-11,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
435895,4,1,2204120414MN,2286329036,1296950703,2022-04-12,2022-04-12,2022-04-01,NA,2022-07-01,"NA",COMPLETE,ACTIVE,MANUAL,396.55,1004.3642,2610,1000.41,189.75,189.75,227.7,1133,736.45,"NA",0,0,0,0,0,0,CURRENT,0,322.14,0
470595,4,1,22070802KYKS,2431547971,2431547964,2022-07-08,2022-07-08,2022-07-01,NA,2022-09-16,"NA",COMPLETE,ACTIVE,MANUAL,119.7,344.02332,460,342,0,0,0,342,222.3,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
446703,4,1,22051001M5AL,2330534609,2330534603,2022-05-10,2022-05-10,2022-05-01,NA,2022-08-03,"NA",COMPLETE,ACTIVE,MANUAL,397.25,1207.7441,1206,1135,164.06,0,0,1135,737.75,"NA",1,1,1,0,0,40,31-60,164.06,233.06,164.06
435689,4,1,22041108VXLA,2285596177,2285596171,2022-04-11,2022-04-11,2022-04-01,NA,2022-06-23,"NA",COMPLETE,ACTIVE,MANUAL,459.24,1164.429,1630,1158.71,263.04,263.04,263.04,1312.1,852.86,"NA",0,0,0,0,0,0,CURRENT,0,373.08,0
447807,4,1,22051206V9TX,2334094944,2334094938,2022-05-12,2022-05-12,2022-05-01,NA,2022-08-03,"NA",COMPLETE,ACTIVE,MANUAL,36.75,96.12374,1735,95.18,15.14,15.14,15.14,105,68.25,"NA",0,0,0,0,0,0,CURRENT,0,21.56,0
422072,4,1,220310090RFL,2234123196,761245345,2022-03-10,2022-03-10,2022-03-01,NA,2022-05-25,"NA",COMPLETE,ACTIVE,MANUAL,460.74,1479.9489,1483,1316.4,351.36,0,0,1316.4,850.47,"NA",1,1,1,0,0,110,90+,351.36,499.04,351.36
482878,4,1,22080801J2OK,2483981052,2483981045,2022-08-08,2022-08-08,2022-08-01,NA,2022-10-14,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
473453,4,1,220715031KOK,2444215352,2444215346,2022-07-15,2022-07-15,2022-07-01,NA,2022-09-23,"NA",COMPLETE,ACTIVE,MANUAL,122.5,350,350,350,0,0,0,350,227.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
470055,4,1,22070702DKTX,2429318821,2429318815,2022-07-07,2022-07-07,2022-07-01,NA,2022-10-03,"NA",COMPLETE,ACTIVE,MANUAL,301,865.9359,860,860,0,0,0,860,559,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
476817,4,1,2207190774TX,2450411317,2450411310,2022-07-19,2022-07-23,2022-07-01,NA,2022-10-02,"NA",COMPLETE,ACTIVE,MANUAL,577.5,1650,1650,1650,0,0,0,1650,1072.5,"NA",NA,NA,NA,0,0,0,CURRENT,NA,0,NA
